NAME_KURZ,terrace
03ba_ODM,"7380"
03bb_ODG,"9074"
03bb_ODG,"8957"
03bb_ODG,"9392"
03ba_ODM,"9585"
06a_HDS_Donau_Biber_1800_780_ka,"1283"
03ba_ODM,"8687"
03bb_ODG,"7439"
03ba_ODM,"8722"
03bb_ODG,"8931"
03ba_ODM,"8445"
03b_OSDS_undiff_1800_780_ka,"7577"
03bb_ODG,"9143"
03ba_ODM,"7392"
03ba_ODM,"8021"
03bb_ODG,"9717"
10a_Hoehenschotter,"10465"
03bb_ODG,"8905"
03ba_ODM,"9048"
03ba_ODM,"8182"
03ba_ODM,"9787"
03c_TDS_Mindel_Guenz_1800_780_ka,"1207"
03bb_ODG,"9223"
03ba_ODM,"9189"
03bb_ODG,"8879"
10a_Hoehenschotter,"10099"
03bb_ODG,"8652"
03c_TDS_Mindel_Guenz_1800_780_ka,"6963"
03ba_ODM,"8693"
03bb_ODG,"8758"
03ba_ODM,"9821"
03c_TDS_Mindel_Guenz_1800_780_ka,"1220"
06a_HDS_Donau_Biber_1800_780_ka,"1267"
03ba_ODM,"8768"
03ba_ODM,"7934"
03bc_ODD,"9325"
03ba_ODM,"9558"
03ba_ODM,"8091"
03bb_ODG,"9200"
03bb_ODG,"9306"
03ba_ODM,"8826"
03c_TDS_Mindel_Guenz_1800_780_ka,"18829"
03c_TDS_Mindel_Guenz_1800_780_ka,"1258"
10a_Hoehenschotter,"9829"
03ba_ODM,"9102"
03ba_ODM,"9252"
03ba_ODM,"7785"
03ba_ODM,"8967"
03ba_ODM,"9544"
06a_HDS_Donau_Biber_1800_780_ka,"1290"
03ba_ODM,"8235"
03ba_ODM,"8860"
03ba_ODM,"7361"
03ba_ODM,"7946"
03bb_ODG,"9057"
03bb_ODG,"9375"
03ba_ODM,"7522"
03ba_ODM,"8151"
03bb_ODG,"8819"
03c_TDS_Mindel_Guenz_1800_780_ka,"1174"
03bb_ODG,"9148"
03ba_ODM,"8719"
03ba_ODM,"7845"
03bb_ODG,"9122"
03c_TDS_Mindel_Guenz_1800_780_ka,"1212"
03bb_ODG,"9228"
03bb_ODG,"9696"
10a_Hoehenschotter,"10237"
03ba_ODM,"9077"
03bb_ODG,"8661"
03bb_ODG,"7410"
03c_TDS_Mindel_Guenz_1800_780_ka,"1229"
06a_HDS_Donau_Biber_1800_780_ka,"1274"
03ba_ODM,"9356"
03ba_ODM,"7921"
10a_Hoehenschotter,"10094"
03ba_ODM,"9221"
10a_Hoehenschotter,"10244"
03bc_ODD,"8843"
03ba_ODM,"8932"
03ba_ODM,"9513"
03c_TDS_Mindel_Guenz_1800_780_ka,"1235"
03bb_ODG,"9315"
03ba_ODM,"7334"
03ba_ODM,"7915"
10a_Hoehenschotter,"10302"
03ba_ODM,"8405"
03ba_ODM,"8990"
03ba_ODM,"8116"
06a_HDS_Donau_Biber_1800_780_ka,"1301"
03bb_ODG,"9501"
03bc_ODD,"9278"
03ba_ODM,"7834"
03ba_ODM,"8399"
03bb_ODG,"9380"
03bb_ODG,"9157"
03ba_ODM,"9747"
03c_TDS_Mindel_Guenz_1800_780_ka,"1183"
03ba_ODM,"8260"
10a_Hoehenschotter,"9864"
03bb_ODG,"9475"
03bc_ODD,"9138"
03ba_ODM,"8417"
03c_TDS_Mindel_Guenz_1800_780_ka,"18756"
03bb_ODG,"9131"
03ba_ODM,"9781"
03c_TDS_Mindel_Guenz_1800_780_ka,"1189"
03ba_ODM,"9492"
03bc_ODD,"9595"
03bb_ODG,"9705"
03ba_ODM,"9207"
03ba_ODM,"7277"
03bb_ODG,"8893"
10a_Hoehenschotter,"10348"
03bc_ODD,"9694"
03ba_ODM,"9775"
03bb_ODG,"9467"
03ba_ODM,"7303"
03ba_ODM,"8509"
03c_TDS_Mindel_Guenz_1800_780_ka,"1240"
03bb_ODG,"8841"
03ba_ODM,"7629"
03ba_ODM,"9270"
03ba_ODM,"8364"
03bb_ODG,"9415"
03bb_ODG,"9627"
03ba_ODM,"8814"
03bb_ODG,"9071"
03ba_ODM,"8521"
03bc_ODD,"9181"
03bb_ODG,"9506"
03ba_ODM,"8390"
03bb_ODG,"10519"
06a_HDS_Donau_Biber_1800_780_ka,"1286"
03ba_ODM,"9461"
03ba_ODM,"7998"
03bb_ODG,"9045"
03ba_ODM,"9282"
10a_Hoehenschotter,"10307"
03ba_ODM,"9005"
03bb_ODG,"9136"
03ba_ODM,"9740"
03c_TDS_Mindel_Guenz_1800_780_ka,"1194"
03bb_ODG,"9242"
03bb_ODG,"9019"
10a_Hoehenschotter,"7730"
03ba_ODM,"8189"
03ba_ODM,"9766"
03c_TDS_Mindel_Guenz_1800_780_ka,"1200"
03ba_ODM,"8924"
03ba_ODM,"7425"
10a_Hoehenschotter,"10496"
03ba_ODM,"8639"
03ba_ODM,"9184"
03bb_ODG,"8649"
03bc_ODD,"9336"
03ba_ODM,"8950"
03ba_ODM,"8044"
03ba_ODM,"8657"
03c_TDS_Mindel_Guenz_1800_780_ka,"1217"
06a_HDS_Donau_Biber_1800_780_ka,"1270"
03ba_ODM,"8783"
03bb_ODG,"8846"
03bb_ODG,"9658"
10a_Hoehenschotter,"10248"
03bb_ODG,"8729"
03ba_ODM,"9565"
03c_TDS_Mindel_Guenz_1800_780_ka,"18822"
03c_TDS_Mindel_Guenz_1800_780_ka,"1255"
03bb_ODG,"9738"
03ba_ODM,"7338"
03ba_ODM,"8512"
03bc_ODD,"9617"
10a_Hoehenschotter,"10274"
03bb_ODG,"8959"
03ba_ODM,"8409"
03bb_ODG,"9394"
06a_HDS_Donau_Biber_1800_780_ka,"1281"
03c_TDS_Mindel_Guenz_1800_780_ka,"1165"
03ba_ODM,"8278"
03ba_ODM,"8685"
10a_Hoehenschotter,"10308"
03bb_ODG,"8933"
03bc_ODD,"9035"
03c_TDS_Mindel_Guenz_1800_780_ka,"1171"
03bb_ODG,"9251"
03bb_ODG,"9719"
03bb_ODG,"8907"
03ba_ODM,"8469"
03ba_ODM,"10517"
03bb_ODG,"8786"
03c_TDS_Mindel_Guenz_1800_780_ka,"1209"
03ba_ODM,"8290"
03bb_ODG,"8998"
03bb_ODG,"9693"
10a_Hoehenschotter,"10234"
03bb_ODG,"9093"
03ba_ODM,"9811"
03bb_ODG,"9667"
03c_TDS_Mindel_Guenz_1800_780_ka,"1222"
06a_HDS_Donau_Biber_1800_780_ka,"1265"
03ba_ODM,"8221"
03ba_ODM,"10529"
03ba_ODM,"9695"
03bb_ODG,"9429"
03c_TDS_Mindel_Guenz_1800_780_ka,"1260"
03ba_ODM,"8824"
03ba_ODM,"7341"
03bb_ODG,"9085"
03ba_ODM,"8539"
10a_Hoehenschotter,"6640"
03ba_ODM,"9274"
03ba_ODM,"7791"
03ba_ODM,"8400"
03ba_ODM,"9713"
03c_TDS_Mindel_Guenz_1800_780_ka,"18837"
06a_HDS_Donau_Biber_1800_780_ka,"1288"
03ba_ODM,"7367"
03bb_ODG,"8938"
03bb_ODG,"7329"
06a_HDS_Donau_Biber_1800_780_ka,"18828"
03bb_ODG,"9150"
03ba_ODM,"9758"
03c_TDS_Mindel_Guenz_1800_780_ka,"1176"
03ba_ODM,"8259"
03bb_ODG,"7676"
03bb_ODG,"9724"
03bc_ODD,"9241"
03bb_ODG,"8912"
03bb_ODG,"9351"
10a_Hoehenschotter,"10359"
03ba_ODM,"9626"
03bb_ODG,"9124"
03c_TDS_Mindel_Guenz_1800_780_ka,"1214"
03ba_ODM,"7443"
03bb_ODG,"9007"
03ba_ODM,"8585"
03ba_ODM,"9202"
10a_Hoehenschotter,"10345"
03bb_ODG,"9581"
03bb_ODG,"8663"
03ba_ODM,"8351"
03bc_ODD,"9562"
03bb_ODG,"8981"
03c_TDS_Mindel_Guenz_1800_780_ka,"1231"
06a_HDS_Donau_Biber_1800_780_ka,"1272"
03ba_ODM,"8793"
03ba_ODM,"7927"
10a_Hoehenschotter,"8218"
03ba_ODM,"7756"
03bb_ODG,"9434"
03bb_ODG,"9646"
03c_TDS_Mindel_Guenz_1800_780_ka,"1237"
03bb_ODG,"9317"
03ba_ODM,"7332"
10a_Hoehenschotter,"10405"
03bb_ODG,"9529"
03ba_ODM,"9277"
03bb_ODG,"8717"
03bb_ODG,"9408"
03ba_ODM,"9537"
06a_HDS_Donau_Biber_1800_780_ka,"1299"
03ba_ODM,"8853"
03ba_ODM,"9438"
03ba_ODM,"8564"
03ba_ODM,"9303"
03bb_ODG,"8947"
03c_TDS_Mindel_Guenz_1800_780_ka,"18848"
03bb_ODG,"9265"
03ba_ODM,"7408"
03bb_ODG,"9038"
03ba_ODM,"8558"
03bb_ODG,"9477"
10a_Hoehenschotter,"10312"
03bb_ODG,"9133"
03bb_ODG,"8800"
03c_TDS_Mindel_Guenz_1800_780_ka,"7335"
03c_TDS_Mindel_Guenz_1800_780_ka,"1191"
03bb_ODG,"9707"
03ba_ODM,"7267"
03bb_ODG,"8668"
03ba_ODM,"8634"
10a_Hoehenschotter,"7761"
10a_Hoehenschotter,"10372"
03bb_ODG,"9560"
10a_Hoehenschotter,"8616"
03ba_ODM,"9641"
03ba_ODM,"8328"
03bb_ODG,"8960"
03bb_ODG,"9655"
03c_TDS_Mindel_Guenz_1800_780_ka,"1242"
03bb_ODG,"9322"
06a_HDS_Donau_Biber_1800_780_ka,"6002"
03ba_ODM,"9268"
03ba_ODM,"8354"
03ba_ODM,"8983"
03bb_ODG,"9417"
03c_TDS_Mindel_Guenz_1800_780_ka,"1248"
03ba_ODM,"8251"
03ba_ODM,"9425"
10a_Hoehenschotter,"9837"
03bb_ODG,"9508"
03bb_ODG,"8952"
03ba_ODM,"8388"
06a_HDS_Donau_Biber_1800_780_ka,"1284"
03ba_ODM,"7371"
03ba_ODM,"9419"
03bb_ODG,"7434"
03c_TDS_Mindel_Guenz_1800_780_ka,"6001"
03bb_ODG,"7317"
03bb_ODG,"9365"
03bb_ODG,"8809"
03c_TDS_Mindel_Guenz_1800_780_ka,"1196"
03bb_ODG,"9244"
03bb_ODG,"9021"
03bb_ODG,"9712"
03ba_ODM,"8753"
10a_Hoehenschotter,"10363"
03bb_ODG,"8900"
03bb_ODG,"7547"
03ba_ODM,"9029"
03ba_ODM,"9764"
